SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,69-10 Yellowstone #427,Forest Hills,NY,11375,340000,1,1.0,69-10 Yellowstone,,,1942,1,,1063,Active,July-20-2024 01:30 PM,July-20-2024 03:30 PM,https://www.redfin.com/NY/Forest-Hills/6910-Yellowstone-Blvd-11375/unit-427/home/20630059,OneKey® MLS as Distributed by MLS Grid,3565242,N,Y,40.7240934,-73.8471788
MLS Listing,,Condo/Co-op,111-14 76th Ave #310,Forest Hills,NY,11375,485000,1,1.0,Longfellow Hall,873,18910,1938,10,556,850,Active,July-13-2024 01:00 PM,July-13-2024 03:00 PM,https://www.redfin.com/NY/Forest-Hills/11114-76th-Ave-11375/unit-310/home/20887815,OneKey® MLS as Distributed by MLS Grid,3563240,N,Y,40.7163954,-73.8368936
MLS Listing,,Single Family Residential,234-15 131st Ave,Rosedale,NY,11422,699000,4,1.5,Rosedale,1260,4000,1945,30,555,,Active,,,https://www.redfin.com/NY/Rosedale/23415-131st-Ave-11422/home/20700867,OneKey® MLS as Distributed by MLS Grid,3558584,N,Y,40.6782628,-73.7334136
MLS Listing,,Single Family Residential,207-20 34th Ave,Bayside,NY,11361,1188000,3,1.5,Bayside,1451,2500,1925,50,819,,Active,July-13-2024 01:00 PM,July-13-2024 03:00 PM,https://www.redfin.com/NY/Bayside/20720-34th-Ave-11361/home/20835771,OneKey® MLS as Distributed by MLS Grid,3553877,N,Y,40.768508,-73.780836
MLS Listing,,Condo/Co-op,41-15 45th St Unit 3D,Sunnyside,NY,11104,449000,1,1.0,41-15 45th St Co-Op,,,1943,67,,861,Active,,,https://www.redfin.com/NY/Sunnyside/4115-45th-St-11104/unit-3D/home/20632236,OneKey® MLS as Distributed by MLS Grid,3549650,N,Y,40.7460474,-73.9188117
MLS Listing,,Single Family Residential,172-58 126th Ave,Jamaica,NY,11434,710000,3,1.0,Jamaica,1050,3450,1962,73,676,,Active,,,https://www.redfin.com/NY/Jamaica/17258-126th-Ave-11434/home/20706565,OneKey® MLS as Distributed by MLS Grid,3548066,N,Y,40.6811004,-73.7699277
MLS Listing,,Single Family Residential,102-05 217th St,Queens Village,NY,11429,760000,3,3.0,Queens Village,1628,4000,1925,78,467,,Active,July-13-2024 12:30 PM,July-13-2024 02:00 PM,https://www.redfin.com/NY/Queens-Village/10205-217th-St-11429/home/20737467,OneKey® MLS as Distributed by MLS Grid,3547165,N,Y,40.7133288,-73.7411183
MLS Listing,,Multi-Family (2-4 Unit),825 E 21st St,Midwood,NY,11210,1588888,5,2.5,Midwood,2702,2500,1915,85,588,,Active,,,https://www.redfin.com/NY/Brooklyn/825-E-21st-St-11210/home/40790106,OneKey® MLS as Distributed by MLS Grid,3545697,N,Y,40.6335649,-73.9565789
MLS Listing,,Condo/Co-op,35-05 72nd St Unit 3G,Jackson Heights,NY,11372,360000,1,1.0,Jac Towers,,,1936,98,,838,Active,July-14-2024 03:30 PM,July-14-2024 04:30 PM,https://www.redfin.com/NY/Jackson-Heights/3505-72nd-St-11372/unit-3G/home/20645114,OneKey® MLS as Distributed by MLS Grid,3542550,N,Y,40.750586,-73.893645
MLS Listing,,Multi-Family (2-4 Unit),145-51 Arlington Ter,Jamaica,NY,11435,749000,2,2.0,Jamaica,1290,2200,1930,101,581,,Active,July-14-2024 01:00 PM,July-14-2024 03:00 PM,https://www.redfin.com/NY/Jamaica/14551-Arlington-Ter-11435/home/20714964,OneKey® MLS as Distributed by MLS Grid,3541665,N,Y,40.690853,-73.801421
MLS Listing,,Townhouse,235A Hart St,Bedford-stuyvesant,NY,11206,995000,4,1.5,Bedford-Stuyvesant,1428,1400,2000,105,697,,Active,,,https://www.redfin.com/NY/Brooklyn/235A-Hart-St-11206/home/190338004,OneKey® MLS as Distributed by MLS Grid,3541021,N,Y,40.6941556,-73.9416976
MLS Listing,,Condo/Co-op,3320 Avenue H Unit 3E,Midwood,NY,11210,249000,1,1.0,Mansfield Gardens,,,1950,106,,568,Active,,,https://www.redfin.com/NY/Brooklyn/3320-Avenue-H-11210/unit-3E/home/143295495,OneKey® MLS as Distributed by MLS Grid,3540717,N,Y,40.6315253,-73.9436762
MLS Listing,,Condo/Co-op,2575 Palisade Ave Unit 4KJ,Bronx,NY,10463,849000,3,2.0,Riveredge,1600,,1958,149,531,2146,Active,,,https://www.redfin.com/NY/Bronx/2575-Palisade-Ave-10463/unit-4KJ/home/189642687,OneKey® MLS as Distributed by MLS Grid,H6278683,N,Y,40.8818819,-73.921791
MLS Listing,,Single Family Residential,144 Johnson Ave,Staten Island,NY,10307,749000,3,1.5,Tottenville,1840,11977,1945,1,407,,Active,,,https://www.redfin.com/NY/Staten-Island/144-Johnson-Ave-10307/home/56057078,SIBORMLS,2403752,N,Y,40.51191,-74.247782
MLS Listing,,Townhouse,271 Oakland Ave,Staten Island,NY,10310,899999,3,2.0,West Brighton,2474,5800,1920,1,364,,Active,,,https://www.redfin.com/NY/Staten-Island/271-Oakland-Ave-10310/home/56034369,SIBORMLS,2403704,N,Y,40.6356484,-74.1110586
MLS Listing,,Single Family Residential,292 Thomas St,Staten Island,NY,10306,949000,3,3.0,Richmond Town,1680,4299,1975,1,565,,Active,,,https://www.redfin.com/NY/Staten-Island/292-Thomas-St-10306/home/56069783,SIBORMLS,2403816,N,Y,40.5683668,-74.1381937
MLS Listing,,Single Family Residential,35 Julieann Ct,Staten Island,NY,10304,2688000,4,3.5,Todt Hill,5400,12475,1998,1,498,,Active,July-13-2024 12:00 PM,July-13-2024 02:00 PM,https://www.redfin.com/NY/Staten-Island/35-Julieann-Ct-10304/home/56099831,SIBORMLS,2403954,N,Y,40.5896492,-74.1082133
MLS Listing,,Multi-Family (2-4 Unit),115-99 219th St,Cambria Heights,NY,11411,999999,6,3.0,Cambria Heights,2100,4100,1950,1,476,,Active,,,https://www.redfin.com/NY/Cambria-Heights/11599-219th-St-11411/home/20728139,OneKey® MLS as Distributed by MLS Grid,3565258,N,Y,40.6975259,-73.7395872
MLS Listing,,Multi-Family (2-4 Unit),839 E 228th St,Bronx,NY,10466,1250000,6,4.0,BRONX,3000,3023,1930,1,417,,Active,,,https://www.redfin.com/NY/Bronx/839-E-228th-St-10466/home/44739696,OneKey® MLS as Distributed by MLS Grid,H6316803,N,Y,40.8887168,-73.8548523
MLS Listing,,Multi-Family (2-4 Unit),776 Adee Ave,Bronx,NY,10467,865000,4,2.0,BRONX,1476,2801,1930,1,586,,Active,,,https://www.redfin.com/NY/Bronx/776-Adee-Ave-10467/home/44780122,OneKey® MLS as Distributed by MLS Grid,H6316379,N,Y,40.869457,-73.8640576
MLS Listing,,Condo/Co-op,150-20 71st Ave #6,Kew Garden Hills,NY,11367,359000,2,1.0,Dara Gardens,,,1956,1,,1075,Active,,,https://www.redfin.com/NY/Flushing/150-20-71st-Ave-11367/unit-6/home/168661921,OneKey® MLS as Distributed by MLS Grid,3564526,N,Y,40.7287357,-73.8172427
MLS Listing,,Multi-Family (2-4 Unit),4439 Byron Ave,Wakefield,NY,10466,639900,4,2.0,Wakefield,1200,1656,1940,1,533,,Active,July-13-2024 11:30 AM,July-13-2024 01:30 PM,https://www.redfin.com/NY/Bronx/4439-Byron-Ave-10466/home/44783094,OneKey® MLS as Distributed by MLS Grid,3564016,N,Y,40.8986245,-73.8522421
MLS Listing,,Condo/Co-op,43-20 Douglaston Pkwy Unit 4H,Douglaston,NY,11363,339000,1,1.0,Wellesley Gardens,697,,1964,1,486,780,Active,,,https://www.redfin.com/NY/Douglaston/43-20-Douglaston-Pkwy-11363/unit-4H/home/191552185,OneKey® MLS as Distributed by MLS Grid,3564982,N,Y,40.767612,-73.7472383
MLS Listing,,Multi-Family (2-4 Unit),186-20 Murdock Ave,Saint Albans,NY,11412,800000,4,2.0,Saint Albans,,4897,1930,1,,,Active,,,https://www.redfin.com/NY/Jamaica/18620-Murdock-Ave-11412/home/20750040,OneKey® MLS as Distributed by MLS Grid,3563238,N,Y,40.6969579,-73.7677483
MLS Listing,,Condo/Co-op,2711 X Ave Unit 3K,Brooklyn,NY,11235,249999,1,1.0,Brooklyn,800,,,1,312,,Active,,,https://www.redfin.com/NY/Brooklyn/2711-Avenue-S-11229/unit-3K/home/191564786,BNYMLS,484511,N,Y,40.6050345,-73.9451571
MLS Listing,,Multi-Family (2-4 Unit),1598 East 91 St,Brooklyn,NY,11236,899000,5,3.5,Brooklyn,1630,4200,,1,552,,Active,,,https://www.redfin.com/NY/Brooklyn/1598-E-91st-St-11236/home/40896047,BNYMLS,484512,N,Y,40.6321148,-73.8959464
MLS Listing,,Single Family Residential,110 Pearsall St,Staten Island,NY,10305,460000,3,2.0,South Beach,1050,,1990,1,438,,Active,,,https://www.redfin.com/NY/Staten-Island/110-Pearsall-St-10305/home/56042871,SIBORMLS,2403969,N,Y,40.588528,-74.073547
MLS Listing,,Single Family Residential,118-31 203rd Street St,Saint Albans,NY,11412,625000,3,1.0,Saint Albans,,4000,1950,1,,,Active,July-13-2024 02:00 PM,July-13-2024 03:00 PM,https://www.redfin.com/NY/Saint-Albans/11831-203rd-St-11412/home/20706719,OneKey® MLS as Distributed by MLS Grid,3565238,N,Y,40.6935087,-73.7480762
